LR_sep,fw,I_4,M_eff,epsilon,X_ratio,log10_X_ratio
8.0,0.02,1.655988e-34,2.432142,-0.000000,0.000000,-31.080367
8.0,0.05,3.329196e-04,2.432142,-0.071484,0.167077,-0.777085
8.0,0.1,1.044689e-03,2.432142,-0.178117,0.524280,-0.280437
8.0,0.2,1.097779e-03,2.432142,0.253742,0.550923,-0.258909
8.0,0.3,1.157762e-03,2.432142,0.310349,0.581026,-0.235805
8.0,0.4,1.247544e-03,2.432142,0.357610,0.626083,-0.203368
8.0,0.5,1.374949e-03,2.432142,0.398743,0.690022,-0.161137
8.0,0.6,1.549538e-03,2.432142,0.435364,0.777639,-0.109222
8.0,0.7,1.781670e-03,2.432142,0.468423,0.894135,-0.048597
8.0,0.8,2.080577e-03,2.432142,0.498532,1.044143,0.018760
8.0,0.9,2.452571e-03,2.432142,0.526116,1.230829,0.090198
8.0,1.0,2.900046e-03,2.432142,0.551489,1.455395,0.162981
8.0,1.2,4.011872e-03,2.432142,0.596575,2.013368,0.303923
8.0,1.5,6.121419e-03,2.432142,0.652981,3.072049,0.487428
8.0,2.0,1.029908e-02,2.432142,0.727401,5.168617,0.713374
